Statistical profiling result from isolate-0xb2d6000-123903-v8.log, (183041 ticks, 9382 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     10    0.0%    0.0%  JS: *ue.declareName /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:74705
     10    0.0%    0.0%  JS: *setResolvedModule /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:360206
     10    0.0%    0.0%  JS: *provide /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:167742
     10    0.0%    0.0%  JS: *pe.parseExprOp /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:51940
     10    0.0%    0.0%  JS: *metadataResolver /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-app-loader/index.js:655:30
     10    0.0%    0.0%  JS: *We.readInt /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:111367
     10    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1378192
     10    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:186375
     10    0.0%    0.0%  Builtin: StringPrototypeSlice
     10    0.0%    0.0%  Builtin: StrictEqual_WithFeedback
     10    0.0%    0.0%  Builtin: MapPrototypeDelete
     10    0.0%    0.0%  Builtin: LoadJoinElement_FastSmiOrObjectElements_0
      9    0.0%    0.0%  RegExp: ^((?:\0.|[^?#\0])*)(\?(?:\0.|[^#\0])*)?(#.*)?$
      9    0.0%    0.0%  RegExp: \0(.) {1}
      9    0.0%    0.0%  RegExp: \/\* __next_internal_client_entry_do_not_use__ ([^ ]*) (cjs|auto) \*\/
      9    0.0%    0.0%  RegExp: \.(css|scss|sass)(\?.*)?$
      9    0.0%    0.0%  JS: +pe.parseMaybeUnary /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:52871
      9    0.0%    0.0%  JS: +filterClientComponents /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/flight-client-entry-plugin.js:460:40
      9    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:575016
      9    0.0%    0.0%  JS: *walkVariableDeclaration /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1018083
      9    0.0%    0.0%  JS: *walkFunctionExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1022410
      9    0.0%    0.0%  JS: *walkArrayExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1021844
      9    0.0%    0.0%  JS: *extractMemberExpressionChain /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1041119
      9    0.0%    0.0%  JS: *callHooksForInfoWithFallback /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1031085
      9    0.0%    0.0%  JS: *blockPreWalkStatement /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1006709
      9    0.0%    0.0%  JS: *<anonymous> :37:28
      9    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:575877
      9    0.0%    0.0%  Builtin: StringSlowFlatten
      9    0.0%    0.0%  Builtin: StringPrototypeEndsWith
      9    0.0%    0.0%  Builtin: PromiseFulfillReactionJob
      9    0.0%    0.0%  Builtin: KeyedHasIC
      9    0.0%    0.0%  Builtin: ArrayIncludesSmiOrObject
      8    0.0%    0.0%  RegExp: ^(#?(?:\0.|[^?#\0])*)(\?(?:\0.|[^#\0])*)?(#.*)?$
      8    0.0%    0.0%  JS: +pe.parseObj /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:65835
      8    0.0%    0.0%  JS: +parse /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1035626
      8    0.0%    0.0%  JS: +blockPreWalkImportDeclaration /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1013825
      8    0.0%    0.0%  JS: +_factorizeModule /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:88859
      8    0.0%    0.0%  JS: *wasm-function[1]
      8    0.0%    0.0%  JS: *inFunctionScope /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1032345
      8    0.0%    0.0%  JS: *detectMode /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1032895
      8    0.0%    0.0%  JS: *R /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:208583
      8    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:87382
      8    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:253420
      8    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1375570
      8    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1017051
      8    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:186393
      8    0.0%    0.0%  Builtin: ToBoolean
      8    0.0%    0.0%  Builtin: RegExpMatchFast
      8    0.0%    0.0%  Builtin: KeyedLoadIC_PolymorphicName
      8    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      8    0.0%    0.0%  Builtin: ForInEnumerate
      8    0.0%    0.0%  Builtin: ConstructFunction
      8    0.0%    0.0%  Builtin: CallApiGetter
      7    0.0%    0.0%  JS: +preWalkSwitchStatement /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1009835
      7    0.0%    0.0%  JS: +iterateNormalLoaders /workspaces/minhAi/node_modules/next/dist/compiled/loader-runner/LoaderRunner.js:1:5529
      7    0.0%    0.0%  JS: +handleExternals /workspaces/minhAi/node_modules/next/dist/build/handle-externals.js:120:42
      7    0.0%    0.0%  JS: +_processModuleDependencies /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:83282
      7    0.0%    0.0%  JS: +Socket._writeGeneric node:net:935:42
      7    0.0%    0.0%  JS: *result /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1405960
      7    0.0%    0.0%  JS: *pe.parseExpression /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:49976
      7    0.0%    0.0%  JS: *nextLineBreak /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:8333
      7    0.0%    0.0%  JS: *jobDone /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:283104
      7    0.0%    0.0%  JS: *isCSSMod /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/utils.js:63:18
      7    0.0%    0.0%  JS: *getType /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:217384
      7    0.0%    0.0%  JS: *Q.inAsync.get /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:12877
      7    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:208949
      7    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:205134
      7    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/flight-client-entry-plugin.js:497:91
      7    0.0%    0.0%  Builtin: SetPrototypeDelete
      7    0.0%    0.0%  Builtin: OrdinaryHasInstance
      7    0.0%    0.0%  Builtin: NewRestArgumentsElements
      7    0.0%    0.0%  Builtin: MapPrototypeGet
      7    0.0%    0.0%  Builtin: MapIteratorPrototypeNext
      7    0.0%    0.0%  Builtin: CallWithSpread
      6    0.0%    0.0%  RegExp: ^(?:break|case|catch|continue|debugger|default|do|else|finally|for|function|if|return|switch|throw|try|var|while|with|null|true|false|instanceof|typeof|void|delete|new|in|this|const|class|extends|export|import|super)$
      6    0.0%    0.0%  RegExp: ^(#?(?:\0.|[^?#\0])*)(\?(?:\0.|[^#\0])*)?(#.*)?$ {1}
      6    0.0%    0.0%  RegExp: \.\/(.+)\.shared-runtime$ {1}
      6    0.0%    0.0%  JS: ^<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:421630
      6    0.0%    0.0%  JS: +v.exports.inferDependencyUsage /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1128453
      6    0.0%    0.0%  JS: +setResolvedModule /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:360206
      6    0.0%    0.0%  JS: +preWalkVariableDeclarator /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1017730
